id,city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
37736,咸阳,2012年10月历史天气,19℃,9℃,24℃,3℃,0,0,10/01,0,10/01
37737,咸阳,2012年09月历史天气,24℃,14℃,29℃,7℃,0,0,09/01,0,09/01
37738,咸阳,2012年08月历史天气,29℃,20℃,34℃,17℃,0,0,08/01,0,08/01
37739,咸阳,2012年07月历史天气,31℃,22℃,36℃,18℃,0,0,07/01,0,07/01
37740,咸阳,2012年06月历史天气,31℃,19℃,37℃,17℃,0,0,06/01,0,06/01
37741,咸阳,2012年05月历史天气,26℃,14℃,32℃,10℃,0,0,05/01,0,05/01
37742,咸阳,2012年04月历史天气,22℃,7℃,29℃,1℃,0,0,04/01,0,04/01
37743,咸阳,2012年03月历史天气,12℃,2℃,20℃,-5℃,0,0,03/01,0,03/01
37744,咸阳,2012年02月历史天气,5℃,-3℃,11℃,-9℃,0,0,02/01,0,02/01
37745,咸阳,2012年01月历史天气,7℃,0℃,16℃,-12℃,0,0,01/01,0,01/01
